B01DFKC2SO,3.0,For the most part we really love our Alexa.,3,,,
B01DFKC2SO,3.0,It does a sorts of fun and helpful things.,2,,Information Giving,
B01DFKC2SO,3.0,We have had some issues with the Nest and the Echo Dot not working together when it is supposed to and there are times when it just doesn't recognize commands even though we've don't tons of voice training with the device.,2,,Problem Discovery,
B01DFKC2SO,3.0,"I also find it mildly annoying that you can't just ask a question like,  'Alexa, what sound does a whale make?'",2,,Problem Discovery,
B01DFKC2SO,3.0,You have to ask her to 'wikipedia' something instead and you don't get the specific info you asked for.,"2,6",,Problem Discovery,
B01DFKC2SO,3.0,I hope they work on that feature.,2,,Feature Request,
B01DFKC2SO,3.0,I also hear that sonos is going to pair soon which will be nice.,4,,,
B01J24C0TI,2.0,This thing has so much potential but falls quite sure of its promise.,3,,,
B01J24C0TI,2.0,"Several features that should have been easy to make available, but are not there: 1) Using the device's built-in camera/microphone as a security camera (accessible through the app on phone or another echo show device).","1,2",R,Feature Request,
B01J24C0TI,2.0,This is not equivalent to a 'Drop In'.,3,,,
B01J24C0TI,2.0,"I want it to be discreet... 2) Direct access to apple music with an app (or 'skill') rather than through me uploading the same music to Amazon cloud, or through bluetooth and iphone 3) Using the device as electronic picture frame with direct access to Photos in Mac OSx.",2,,Feature Request,
B01J24C0TI,2.0,And no I dont want to copy all my photos into Amazon cloud!,"2,6",,Problem Discovery,
B01J24C0TI,2.0,I can go on and on.,8,,,
B01J24C0TI,2.0,"I understand that Amazon and Apple compete in some of these areas, but I am not going to change my entire infrastructure to an Amazon based infra (it is not even possible as there are no equivalents to a Mac Book from Amazon!)",4,,,
B01J24C0TI,2.0,just to be able to use Echo Show.,4,,,
B01LRLJV28,1.0,"After owning Sony consoles since the PS1 was launched over 20 years ago, the fact that PS4 gutted the ability for my $300 Harmony remote to turn it on for movie watching (and redid the control scheme to make even this simple task utterly unintuitive)--now that my Sony brand controllers have started lagging to render games nearly unplayable, I'm quickly coming to the conclusion that non-PC gaming is becoming worthless.Good job Sony, you managed to murder a cash cow.","1,2,4,5,6",C,Problem Discovery,
B01LRLJV28,1.0,"I now root for your rapid demise, lest future good would-be 1st party games from whatever part of Naughty Dog survives be wasted on your garbage hardware.",1,C,,
B0106IS5XY,4.0,"Not a fan of the design but for those who like Pebbles, this is right up your alley!",3,,,
B01LRLJV28,4.0,Great  bye for the price one thing was wrong with the controller but the replaced it swiftly and bid day shipping if it's in your area would give a five star but I just told you why,"3,7",,,
B01DFKC2SO,1.0,I'm glad I got this as a gift and didn't spend my own money on it because it's the most useless POS that is in my house.,"3,4",,,
B01DFKC2SO,1.0,Doesn't understand 75% of what you say/ask and is more than frustrating to work with.,2,,Problem Discovery,
B0106IS5XY,3.0,I really wanted to love the pebble but in the end it is only ok.,3,,,
B0106IS5XY,3.0,The software is the issue since 3rd party developers are not really supporting the platform and it has second best phone integration.,2,,Information Giving,
B0106IS5XY,3.0,I was hoping pebble health would be able to replace my fitbit but it isn't as good and I get some very odd sleep data from it.,"2,3",,Problem Discovery,
B0106IS5XY,3.0,If you are interested in a smartwatch this might be a decent place to start but you might be happier with something that has more functionality.,2,,Problem Discovery,
B0106IS5XY,2.0,I didn't like the format and I wasn't a fan of the app either.,2,,Problem Discovery,
B0106IS5XY,2.0,The user interface and graphics didn't sit well with me.,2,,Problem Discovery,
B0106IS5XY,2.0,Not my kind of watch.,3,,,
B0106IS5XY,2.0,I like things streamlined like Samsung and this was just a different set up and older school.,"1,2",P,Problem Discovery,
B01J24C0TI,5.0,"Not sure of everything this can do, but so far we all love it!",3,,,
B01DFKC2SO,4.0,It's OK.,3,,,
B01DFKC2SO,4.0,"In a noisy environment(when tv is on, or when someone is talking nearby) , it won't be able to hear me very well.","2,6",,Problem Discovery,
B01DFKC2SO,4.0,"Sometimes when it doesn't understand my command, it would just ignore.",2,,Problem Discovery,
B01DFKC2SO,4.0,Some tasks/skills are not easy to control/adjust (some due to third party apps).,2,,Problem Discovery,
B01DFKC2SO,4.0,"To play music playlist, I have to let it 'sync' (through the night) before it can understand my command to play the new list.","2,6",,Problem Discovery,
B01DFKC2SO,4.0,Calendar is easy to add.,2,,Information Giving,
